iter	Passed	Remaining
399	19324	28987
400	19353	28910
401	19384	28834
402	19405	28747
403	19445	28686
404	19472	28607
405	19506	28539
406	19543	28474
407	19603	28444
408	19635	28372
409	19670	28305
410	19709	28245
411	19750	28188
412	19802	28145
413	19848	28095
414	19872	28013
415	19903	27941
416	19919	27849
417	19944	27769
418	19973	27696
419	19997	27615
420	20021	27536
421	20062	27479
422	20096	27412
423	20129	27345
424	20183	27306
425	20231	27260
426	20279	27214
427	20334	27175
428	20377	27123
429	20415	27062
430	20453	27002
431	20493	26944
432	20530	26884
433	20575	26833
434	20624	26788
435	20694	26769
436	20748	26731
437	20798	26686
438	20844	26637
439	20863	26554
440	20887	26475
441	20913	26402
442	20965	26360
443	21009	26309
444	21035	26234
445	21120	26234
446	21163	26182
447	21202	26124
448	21226	26048
449	21259	25983
450	21293	25920
451	21346	25879
452	21383	25820
453	21417	25757
454	21456	25700
455	21481	25627
456	21529	25580
457	21556	25510
458	21594	25452
459	21637	25400
460	21696	25367
461	21735	25311
462	21776	25257
463	21815	25201
464	21855	25145
465	21889	25083
466	21948	25049
467	21999	25007
468	22030	24942
469	22061	24877
470	22090	24810
471	22106	24729
472	22149	24678
473	22172	24604
474	22222	24561
475	22260	24505
476	22297	24447
477	22331	24386
478	22365	24326
479	22391	24257
480	22417	24188
481	22466	24144
482	22493	24076
483	22558	24050
484	22593	23990
485	22614	23917
486	22637	23846
487	22660	23774
488	22705	23726
489	22723	23650
490	22741	23574
491	22765	23505
492	22786	23433
493	22816	23370
494	22848	23309
495	22900	23270
496	22935	23212
497	22957	23141
498	23010	23102
499	23097	23097
500	23145	23053
501	23185	23001
502	23230	22953
503	23281	22912
504	23305	22843
505	23329	22776
506	23356	22711
507	23391	22655
508	23437	22608
509	23454	22534
510	23485	22474
511	23550	22446
512	23610	22413
513	23630	22343
514	23656	22278
515	23684	22215
516	23737	22176
517	23778	22126
518	23824	22080
519	23861	22025
520	23901	21975
521	23953	21934
522	23980	21871
523	24019	21818
524	24050	21760
525	24091	21709
526	24137	21664
527	24182	21617
528	24211	21556
529	24254	21508
530	24279	21444
531	24326	21400
532	24369	21351
533	24410	21302
534	24440	21242
535	24470	21183
536	24497	21121
537	24523	21059
538	24552	20999
539	24576	20935
540	24604	20875
541	24640	20821
542	24674	20766
543	24717	20719
544	24737	20652
545	24764	20591
546	24784	20525
547	24814	20467
548	24841	20406
549	24878	20354
550	24910	20299
551	24960	20257
552	24983	20194
553	25012	20136
554	25048	20084
555	25077	20026
556	25120	19979
557	25158	19928
558	25188	19871
559	25212	19809
560	25258	19765
561	25307	19723
562	25345	19673
563	25379	19619
564	25422	19573
565	25471	19531
566	25500	19473
567	25531	19418
568	25550	19353
569	25574	19293
570	25608	19239
571	25632	19179
572	25671	19130
573	25696	19070
574	25718	19009
575	25753	18957
576	25784	18902
577	25809	18843
578	25850	18795
579	25872	18735
580	25914	18688
581	25951	18638
582	25998	18595
583	26025	18538
584	26071	18495
585	26120	18454
586	26159	18405
587	26193	18353
588	26275	18334
589	26300	18276
590	26318	18213
591	26341	18154
592	26359	18091
593	26405	18048
594	26425	17986
595	26454	17932
596	26478	17874
597	26503	17816
598	26540	17767
599	26565	17710
600	26619	17672
601	26645	17616
602	26695	17575
603	26725	17521
604	26747	17463
605	26782	17413
606	26828	17369
607	26858	17316
608	26885	17261
609	26921	17212
610	26963	17166
611	26989	17110
612	27020	17058
613	27089	17030
614	27129	16983
615	27156	16928
616	27198	16883
617	27220	16825
618	27262	16780
619	27280	16720
620	27318	16672
621	27344	16617
622	27367	16561
623	27397	16509
624	27433	16459
625	27454	16402
626	27480	16347
627	27504	16292
628	275629	27759629	275630	27801630	275631	27852	16218
632	27890	16170
633	27941	16130
634	27973	16079
635	28006	16028
636	28072	15997
637	28156	15976
638	28215	15939
639	28283	15909
640	28366	15887
641	28429	15852
642	28479	15812
643	28567	15792
644	28624	15754
645	28686	15720
646	28729	15674
647	28765	15625
648	28801	15576
649	28858	15539
650	28902	15494
651	28942	15447
652	28995	15407
653	29033	15360
654	29065	15309
655	29134	15277
656	29169	15228
657	29206	15180
658	29244	15132
659	29278	15082
660	29314	15034
661	29353	14987
662	29386	14937
663	29443	14899
664	29494	14858
665	29525	14807
666	29556	14755
667	29590	14706
668	29630	14660
669	29657	14607
670	29708	14566
671	29744	14518
672	29796	14477
673	29842	14434
